"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,0,0,0,101.4,0,0,0.4,0,0.3,0,0,0,2.8,0.1,0,0,0,0.1,0,0,0,0,0,2.8,1.5,3.9,5.4,0.1,12,0.1,0,2.3,0.2,0.8,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.2
1962,0,0,0,103.5,0,0,0.4,0,0.3,0,0,0,2.8,0.2,0,0,0,0.1,0,0,0,0,0,3.1,1.5,4,5.9,0.2,10.6,0.1,0,2.8,0,0.8,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.3
1963,0,0,0,101.9,0,0,0.4,0,0.3,0,0,0,2.8,0.1,0,0,0,0.1,0,0,0,0,0,5,1.6,5.9,0.6,0.1,9.7,0.3,0,3.3,0.2,0.6,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.3
1964,0,0,0,102.3,0,0.1,0.4,0,0.3,0,0,0,2.7,0.2,0,0,0,0.1,0,0,0,0,0,4.8,1.5,5.9,0.6,0.2,10.3,0.2,0,3,0.2,0.7,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.6,0,0,0,0,0,0.1,0.3
1965,0,0,0,103.4,0,0,0.5,0,0.3,0,0,0,2.7,0.1,0,0,0,0.1,0,0,0,0,0,4.4,2.5,4.2,4.5,0.1,7.2,0.6,0,3.3,0.1,0.7,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.6,0,0,0,0,0,0.1,0.3
1966,0,0,0,102.2,0,0,0.5,0,0.3,0,0,0,2.7,0.1,0,0,0,0.1,0,0,0,0,0,4.2,2.3,6.9,4.5,0.1,9.1,0.9,0,3,0.3,0.7,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.8,0,0,0,0,0,0.1,0.3
1967,0,0,0,103.8,0,0,0.5,0,0.2,0,0,0,2.6,0.1,0,0,0,0.1,0,0,0,0,0,3.7,0.9,7.5,3.5,0.1,6.5,1.1,0,2.9,2,0.6,0.1,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.3
1968,0,0,0,103.4,0,0,0.6,0,0.2,0,0,0,2.5,0.1,0,0,0,0.1,0,0,0,0,0,1.9,0.7,9.3,3.5,0.2,7.9,2.5,0,2.2,3.1,0.7,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.3
1969,0,0,0,102.5,0,0.1,0.6,0,0.2,0,0,0,2.5,0.1,0,0,0,0.1,0,0,0,0,0,4,0.8,5.6,2.9,0.1,9.5,2.4,0,3.8,2.5,0.6,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0.1,0.3
1970,0,0,0,102,0,0.1,0.6,0,0.2,0,0,0,2.5,0.2,0,0,0,0.1,0,0,0,0,0,4.1,2.1,6.1,1,0.1,10.3,1.7,0,6,2.3,0.5,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0.5,0,0,0,0,0,0.1,0.3
