year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0.1,11.8,1.7,0,0.5,0,0,0,0,0.1,4,0,0,0,0,0.1,0,0,0.1,0,0,0.5,1.1,1.5,0.3,4,0,0.4,0,3.2,4.4,0.3,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1962,0,0,0.1,11.4,2.4,0,1.4,0,0,0,0,0.3,2.8,0,0,0,0,0.1,0,0,0.1,0,0,0.4,0.7,3,0.3,4,0,0.8,0,4.5,3.8,0.6,0,0,0.3,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1963,0,0,0.1,11.2,2,0,1.1,0,0,0,0,0.2,3.5,0,0,0,0,0.1,0,0,0,0,0,0.4,1.7,0.5,0.6,3.2,0,0,0.1,5.2,3.3,0.7,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1964,0,0,0.1,10.6,2.2,0,1.3,0,0,0,0,0.3,3.6,0,0,0,0,0.1,0,0,0,0,0,0.9,0.7,1.9,1.6,4.4,0,0,0,3,1.7,0.6,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1965,0,0,0.1,11.3,1.9,0,1.1,0,0,0,0,0.2,4,0,0,0,0,0.1,0,0,0,0,0,0.4,3.4,0.5,0.4,3.2,0,0,0,5.1,0.6,0.5,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
1966,0,0,0.1,11.9,2.1,0,1.5,0,0,0,0,0.2,3.2,0,0,0,0,0.1,0,0,0.1,0,0,0.1,2.5,0.2,0.3,3.9,0,2.4,0,1.8,5.3,0.4,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
1967,0,0,0,12.8,2,0,1.2,0,0,0,0,0.2,3.8,0,0,0,0,0.1,0,0,0.1,0,0,0.1,1.2,0.3,1.4,1.8,0,1.1,0,0.8,6.4,0.2,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1968,0,0,0.1,14,1.8,0,0.9,0,0,0,0,0.2,3.9,0,0,0,0,0.1,0,0,0.1,0,0,0.2,1.2,0.1,0.2,3.7,0,0.8,0,4.5,6.8,0.4,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1969,0,0,0,13.9,2.2,0,1.2,0,0,0,0,0.2,4.3,0,0,0,0,0.1,0,0,0.1,0,0,0.1,2.2,0.1,0.3,4,0,1.2,0,0.9,8,0.3,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1970,0,0,0,14.5,2.5,0,1.1,0,0,0,0,0.2,4,0,0,0,0,0.1,0,0,0.1,0,0,0.1,1.2,0.2,0.2,3.9,0,1.2,0,5.7,5.9,0.2,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
