year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,12.8,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0,16.5,0,0,0.5,0,1.1,0,0,0,0,1,0,0,0.4,0,0,0,0.2,0,0,0.7,2.5,0.3,0,0,0,0,0,0,0,0.1
1962,0,0,0,13.1,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0,18,0,0,0.6,0,1.1,0,0,0,0,1,0,0,0.4,0,0,0,0.2,0,0,0.7,2.5,0.3,0,0,0,0,0,0,0,0.1
1963,0,0,0,13.4,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0,17.6,0,0,1.4,0,1.1,0,0,0,0,0.9,0,0,0.4,0,0,0,0.1,0,0,0.7,2.6,0.3,0,0,0,0,0,0,0,0.1
1964,0,0,0,14.1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.8,0,0,0,0,0,17.8,0,0,2.5,0,1,0,0,0,0,1.1,0,0,0.4,0,0,0,0.1,0,0,0.7,2.5,0.2,0,0,0,0,0,0,0,0.1
1965,0,0,0,14,0,0,0,0,0,0.3,0,0,0.5,0,0,0,0,0.8,0,0,0,0,0,17.7,0,0,1.9,0,1,0,0,0,0,1.3,0,0,0.4,0,0,0,0.1,0,0,0.7,2.6,0.3,0,0,0,0,0,0,0,0.1
1966,0,0,0,15.2,0,0,0,0,0,0.4,0,0,0.5,0,0,0,0,0.8,0,0,0,0,0,17.3,0,0,3.9,0,1,0,0,0,0,1,0,0,0.4,0,0,0,0.2,0,0,0.7,2.5,0.3,0,0,0,0,0,0,0,0.2
1967,0,0,0,16,0,0,0,0,0,0.2,0,0,0.9,0,0,0,0,0.8,0,0,0,0,0,16.9,0,0,3.4,0,0.9,0,0,0,0,1.3,0,0,0.4,0,0,0,0.2,0,0,0.7,2.4,0.2,0,0,0,0,0,0,0,0.2
1968,0,0,0,17,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0.8,0,0,0,0,0,16.8,0,0,1.8,0,0.9,0,0,0,0,0.2,0,0,0.4,0,0,0,0.1,0,0,0.7,2.4,0.3,0,0,0,0,0,0,0,0.1
1969,0,0,0,16,0,0,0,0,0,0.5,0,0,0.6,0,0,0,0,0.7,0,0,0,0,0,17.1,0,0,2.8,0,1.8,0,0,0,0,0.8,0,0,0.4,0,0,0,0.1,0,0,0.7,2.3,0.2,0,0,0,0,0,0,0,0.1
1970,0,0,0,17.6,0,0,0,0,0,0.4,0,0,0.8,0,0,0,0,0.7,0,0,0,0,0,17.3,0,0,2.4,0,1.7,0,0,0,0,0.8,0,0,0.4,0,0,0,0.2,0,0,0.7,2.2,0.2,0.1,0,0,0,0,0,0,0.1
