year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,17.5,0.1,0,0.5,0,0.1,1.2,0,0,12.9,0,0.2,0,0,0.2,0.6,0.2,0.2,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.5,0.1,0.1,2.2,0,0.3,0,0,0,0,0,0.1,0,1.2
1962,0,0,0,20,0.1,0,0.6,0,0.1,1.5,0,0,14.4,0,0.1,0,0,0.2,0.5,0.3,0.2,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.5,0.1,0.1,2.3,0,0.3,0,0,0,0,0,0.1,0,1.2
1963,0,0,0,20.1,0.1,0,0.7,0,0.2,1.4,0,0,14.7,0,0.2,0,0,0.2,0.6,0.3,0.2,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.5,0.1,0.1,2.3,0,0.3,0,0,0,0,0,0.1,0,1.2
1964,0,0,0,20.8,0.1,0,0.6,0,0.2,1.4,0,0,14.6,0,0.2,0,0,0.2,0.5,0.3,0.3,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0.1,0.1,2.3,0,0.3,0,0,0,0,0,0.1,0,1.2
1965,0,0,0,22.4,0.1,0,0.7,0,0.2,1.4,0,0,14.9,0,0.1,0,0,0.2,0.5,0.2,0.2,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.5,0.1,0.2,2.4,0,0.3,0,0,0,0,0,0.1,0,1.2
1966,0,0,0,21.1,0.1,0,0.6,0,0.2,1.6,0,0,12.5,0,0.3,0,0,0.2,0.5,0.1,0.2,0,0.1,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.5,0.1,0.2,2.2,0.1,0.3,0,0,0,0,0,0.1,0,1.2
1967,0,0,0,20.9,0.1,0,0.6,0,0.2,1,0,0,12.9,0,0.3,0,0,0.2,0.4,0.4,0.2,0,0.1,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.1,0.2,2.1,0.1,0.3,0,0,0,0,0,0.1,0,1.2
1968,0,0,0,22.4,0.1,0,0.6,0,0.2,1.4,0,0,14.5,0,0.4,0,0,0.2,0.5,0.3,0.2,0,0.1,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.5,0.1,0.2,2,0,0.3,0,0,0,0,0,0.1,0,1.2
1969,0,0,0,24.4,0.1,0,0.5,0,0.2,1.1,0,0,13.8,0,0.4,0,0,0.2,0.5,0.4,0.2,0,0.1,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0.5,0.1,0.2,1.9,0,0.3,0,0,0,0,0,0.1,0,1.2
1970,0,0,0,23.6,0.6,0,0.4,0,0.2,1.2,0,0,13.6,0,0.4,0,0,0.2,0.5,0.3,0.2,0,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0.1,0.2,1.9,0,0.3,0.1,0,0,0,0,0.1,0,1.2
