year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0.2,0,18.1,0,0,0.1,4,0,0.1,0,15.1,2.5,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,0.9,0.6,0,0,0,1.3,0,0,0,0.2,0,3.2,0,0,0.2,0,0.4,0.1,0,0,0.4,0,0.1,0.2,0,0,0,0.2,0.9
1962,0,0.3,0,18.1,0,0,0.2,4.3,0,0.1,0,20.4,2.2,0,0.1,0,0.2,0.3,0,0,0,0,0.1,0,0,0.9,0.6,0,0,0,1,0,0,0,0.3,0,3.4,0,0,0.2,0,0.4,0.1,0,0,0.4,0,0.1,0.2,0,0,0,0.2,0.9
1963,0,0.3,0,18.1,0,0,0.2,4.4,0,0.1,0,17.5,2.6,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,0.9,0.6,0,0,0,1.4,0,0,0,0.4,0,3.5,0,0,0.2,0,0.4,0.1,0,0,0.4,0,0.2,0.2,0,0,0,0.2,0.9
1964,0,0.3,0,18.4,0,0,0.2,4.5,0,0.1,0,18.2,2.8,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,0.9,0.7,0,0,0,1.4,0,0,0,0.4,0,3.5,0,0,0.2,0,0.3,0.1,0,0,0.4,0,0.2,0.2,0,0,0,0.2,0.9
1965,0,0.2,0,18.2,0,0,0.3,4.4,0,0.1,0,13.3,3.1,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,0.9,0.8,0,0,0,1.5,0,0,0,0.4,0,3.4,0,0,0.2,0,0.3,0.1,0,0,0.5,0,0.1,0.2,0,0,0,0.2,0.9
1966,0,0.1,0,18.4,0,0,0.3,7.5,0,0.1,0,8.9,3.9,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,1.8,0.7,0,0,0,0.5,0,0,0,0.4,0,3.3,0,0,0.2,0,0.3,0.1,0,0,0.4,0,0.2,0.2,0,0,0,0.2,0.9
1967,0,0.2,0,18.7,0,0,0.3,4.2,0,0.1,0,15.2,4.7,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,1.7,0.7,0,0,0,0.5,0,0,0,0.3,0,3.1,0,0,0.2,0,0.3,0.1,0,0,0.4,0,0.2,0.2,0,0,0.1,0.2,0.9
1968,0,0.3,0,19,0,0,0.2,4.2,0,0.1,0,17.3,4,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,1.5,0.6,0,0,0,0.4,0,0,0,0.2,0,2.8,0,0,0.2,0,0.2,0,0,0,0.4,0,0.2,0.3,0,0,0,0.2,0.9
1969,0,0.3,0,18.4,0,0,0.3,4.4,0,0.1,0,18.9,3.4,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,1.4,0.6,0,0,0,0.4,0,0,0,0.1,0,2.6,0,0,0.2,0,0.2,0.1,0,0,0.4,0,0,0.2,0,0,0.1,0.2,0.9
1970,0,0.3,0,18,0,0,0.3,4.7,0,0.1,0,18.5,5.2,0,0.1,0,0.2,0.3,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0.7,0,0,0,0.1,0,2.6,0,0,0.2,0,0.2,0,0,0,0.3,0,0.2,0.3,0,0,0.1,0.2,0.9
