year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1975,0,0,0,19.4,0,2,0,0,0.3,0,0,0.5,0.1,0.5,0.1,2.7,0,0.9,4.6,0,0,6.1,0,0,0,0.7,0,0,0,0,0.2,0,0,0,2,0.8,1.7,0,0.1,0.1,0,0,0,0,0.4,3,0,0,0,0.1,0,0,0.1,0.8
1976,0,0,0,19.7,0,2,0.1,0,0.3,0,0,0.6,0.1,0.4,0.1,2.8,0,0.6,4.7,0,0,6.5,0,0,0,0.5,0,0,0,0,0.2,0,0,0,2.4,0.7,1.5,0,0.1,0.1,0,0,0,0,0.4,3.1,0,0.1,0,0.1,0,0,0.1,0.9
1977,0,0,0,20.8,0,2,0,0,0.3,0.1,0,0.9,0.1,0.3,0.1,2.3,0,0.8,4.8,0,0,5.5,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0.4,0.8,0,0.1,0.1,0,0,0,0,0.4,2.6,0,0,0,0.1,0,0,0.1,0.7
1978,0,0,0,22,0,2,0,0,0.2,0.1,0,0.9,0.1,0.4,0.1,2.2,0,0.4,4.8,0,0,5.9,0,0,0,0.5,0,0,0,0,0,0,0,0,1.3,0.3,0.6,0,0.3,0.1,0,0,0,0,0.3,2,0,0,0,0.1,0,0,0.1,0.6
1979,0,0,0,22.5,0,1.8,0,0,0.2,0.1,0,0.8,0.1,0.4,0,2.2,0,1.1,5.3,0,0,5.4,0,0,0,1,0,0,0,0,0,0,0,0,1.6,0.5,0.5,0,0.4,0.1,0,0,0,0,0.3,1.3,0,0,0,0.1,0,0,0.1,0.6
1980,0,0,0,21.3,0,1.8,0,0,0.2,0.1,0,0.9,0.1,0.3,0,1.7,0,0.4,5.6,0,0,7.8,0,0,0,0.7,0,0,0,0,0,0,0,0,1.8,0.5,0.5,0,0.3,0.1,0,0,0.1,0,0.3,1.8,0,0,0,0.1,0,0,0.1,0.7
1981,0,0,0,20,0,1.4,0,0,0.2,0.1,0,0.8,0.1,0.3,0,1.5,0,0.4,5.9,0,0,6.9,0,0,0,0.7,0,0,0,0,0,0,0,0,2,0.5,0.5,0,0.3,0.1,0,0,0.1,0,0.3,1.7,0,0,0,0,0,0,0.1,0.8
1982,0,0,0,20.2,0,1.4,0,0,0.2,0,0,0.8,0.1,0.3,0,2,0,0.8,5.7,0,0,7,0,0,0,0.3,0,0,0,0,0,0,0,0,1.9,0.5,0.5,0,0,0.1,0,0,0.1,0,0.3,1.8,0,0,0,0,0,0,0.1,0.7
1983,0,0,0,20,0,1.4,0,0,0.2,0,0,0.5,0.1,0.3,0,1.8,0,0.5,4.8,0,0,7.2,0,0,0,0.2,0,0,0,0,0,0,0,0,1.3,0.3,0.4,0,0,0.1,0,0,0,0,0.3,1.3,0,0,0,0,0,0,0.1,0.8
1984,0,0,0,20.3,0,1.4,0,0,0.2,0,0,0.4,0,0.4,0,1.8,0,0.9,6.1,0,0,7.2,0,0,0,0.3,0,0,0,0,0,0,0,0,1.6,0.3,0.5,0,0.1,0.1,0,0,0,0,0.3,1.6,0,0,0,0,0,0,0.1,0.9
1985,0,0,0,20.4,0,1.7,0,0,0.3,0,0,0.4,0,0.3,0,2,0,0.6,5.6,0,0,5.9,0,0,0,0.3,0,0,0,0,0,0,0,0,1.5,0.2,0.4,0,0,0.1,0,0,0,0,0.4,1.7,0,0,0,0,0,0,0.1,0.9
1986,0,0,0,19.8,0,1.7,0,0,0.2,0,0,0.1,0,0.3,0,1.9,0,0.5,6.9,0,0,6.6,0,0,0,0.5,0,0,0,0,0,0,0,0,1.2,0.2,0.4,0,0,0.1,0,0,0,0,0.2,1.5,0,0,0,0,0,0,0.1,0.6
1987,0,0,0,20,0,1.8,0,0,0.2,0,0,0.1,0,0.2,0,1.6,0,0.4,7.2,0,0,8.6,0,0,0,0.6,0,0,0,0,0,0,0,0,1.2,0.3,0.4,0,0.1,0.1,0,0,0,0,0.2,1.4,0,0,0,0,0,0,0.2,0.7
1988,0,0,0,19.9,0,3.2,0,0,0.2,0,0,0.1,0,0.2,0,1.7,0,0.4,9.1,0,0,10.2,0,0,0,0.2,0,0,0,0,0,0,0,0,1.4,0.2,0.3,0,0.1,0.2,0,0,0,0,0.2,1.3,0,0,0,0,0,0,0.2,0.7
1989,0,0,0,19.3,0,2.3,0.1,0,0.2,0,0,0.1,0,0.2,0,1.8,0,0.7,8.6,0,0,7.5,0,0,0,0.6,0,0,0,0,0,0,0,0,1.8,0.2,0.8,0,0,0.3,0,0,0,0,0.2,1.4,0,0,0,0,0,0,0.2,0.8
1990,0,0,0,20.7,0,2.3,0.1,0,0.2,0,0,0.1,0,0.1,0,0.8,0,0.8,8.2,0.2,0,7.8,0,0,0,0.4,0,0,0,0,0,0,0,0,1.4,0.2,0.6,0,0.1,0.4,0,0,0,0,0.2,1.4,0,0,0,0,0,0,0.2,0.7
1991,0,0,0,21.4,0,2.1,0,0,0.1,0,0,0.1,0,0.4,0,1,0,0.1,7.3,0,0,8,0,0,0,0.2,0,0,0,0,0,0,0,0,1.4,0.2,0.6,0,0,0.7,0,0,0,0,0.1,1.4,0,0,0,0,0,0,0.1,0.6
1992,0,0,0,21.2,0,2.2,0,0,0.2,0,0,0.1,0,0.4,0,0.9,0,0.5,8.8,0,0,5.7,0,0,0,0.2,0,0,0,0.5,0,0,0,0,1.7,0.4,1,0,0.3,0.7,0,0,0,0,0.1,1.8,0,0,0,0,0,0,0.2,0.6
1993,0,0,0,21.7,0,2.6,0,0,0.1,0,0,0.1,0,0.4,0,0.9,0,0.4,10.7,0,0,4.5,0,0,0,0.2,0,0,0,0,0,0,0,0,1.7,0.4,0.8,0,0.3,0.6,0,0,0,0,0.1,1.5,0,0,0,0,0,0,0.2,0.6
1994,0,0,0,22.8,0,3.2,0,0,0.1,0,0,0.1,0,0.2,0,0.8,0,0.6,11.6,0,0,6,0,0,0,0.2,0,0,0,0,0,0,0,0,1.3,0.5,1,0,0.2,0.6,0,0,0,0,0.1,1.9,0,0,0,0,0,0,0.1,0.6
1995,0,0,0,24.6,0,2.2,0,0,0.1,0,0,0.1,0,0.5,0,0.7,0,0.3,10.3,0,0,5.8,0,0,0,0.1,0,0,0,0,0,0,0,0,1.3,0.3,1,0,0.3,0.5,0,0,0,0,0.1,1.6,0,0,0,0,0,0,0.1,0.6
1996,0,0,0,27.5,0,2,0,0,0.2,0,0,0.1,0,0.6,0,0.8,0,0.8,10.3,0,0,6.6,0,0,0,0.3,0,0,0,0,0,0,0,0,1.1,0.5,1.2,0,0.4,0.6,0,0,0,0,0.1,1.5,0,0,0,0,0,0,0.1,0.7
1997,0,0,0,27.8,0,2.2,0.1,0,0.3,0,0,0.2,0,0.3,0,1.1,0,0.4,8.7,0,0,8.8,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0.8,0.6,1.2,0,0.3,0.5,0,0,0,0,0.1,2.1,0,0,0,0,0,0,0.1,0.7
1998,0,0,0,26.3,0,1.8,0,0,0.3,0,0,0.1,0,0.3,0,1,0,0.4,8.8,0,0,8.8,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0.8,1.3,0,0.1,0.5,0,0,0.1,0,0.1,1.6,0,0,0,0,0,0,0.1,0.8
1999,0,0,0,25.8,0,2.3,0,0,0.6,0,0,0.1,0,0.2,0,0.9,0,0.7,9.6,0,0,7.9,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.6,1,0,0.2,0.7,0.1,0,0,0,0.1,1.9,0,0,0,0,0,0,0.1,0.6
2000,0,0,0,26.7,0,2.4,0,0,0.3,0,0,0.2,0,0.2,0,0.9,0,0.8,10.5,0,0,7,0,0,0,0.1,0,0,0,0,0,0,0,0,0.8,0.7,1.1,0,0.3,0.9,0.1,0,0,0,0.1,0.6,0,0,0,0,0,0,0.1,0.6
2001,0,0,0,27.2,0,2.4,0,0,0.3,0,0,0.2,0,0.2,0,0.9,0,0.5,8.2,0,0,8.9,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0.5,1.3,0,0.1,0.9,0.1,0,0,0,0.1,1.4,0,0,0,0,0,0,0.1,0.6
2002,0,0,0,27.6,0,2.6,0,0,0.3,0,0,0.1,0,0.3,0,0.8,0,0.8,8.8,0,0,6.3,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.4,1.2,0,0.1,0.8,0,0,0.1,0,0.1,1.6,0,0,0,0,0,0,0.1,0.6
2003,0,0,0,28.7,0,2.5,0,0,0.2,0,0,0.1,0,0.2,0,0.9,0,0.4,8.7,0,0,6.8,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0.4,1.1,0,0.1,0.1,0,0,0.1,0,0.1,1.2,0,0,0,0,0,0,0.1,0.5
2004,0,0,0,28.3,0,2.6,0,0,0.2,0,0,0.1,0,0.1,0,0.9,0,0.9,8,0,0,7,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0.3,1.1,0,0.1,0,0,0,0.1,0,0.1,1.5,0,0,0,0,0,0,0.2,0.7
2005,0,0,0,27.8,0,2.3,0,0,0.3,0,0,0.1,0,0.1,0,0.9,0,0.3,8.7,0,0,7.5,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0.3,1.3,0,0.1,0,0,0,0.1,0,0.2,1.4,0,0,0,0,0,0,0.1,0.8
2006,0,0,0,30.1,0,2.1,0,0,0.3,0,0,0.1,0,0.1,0,0.9,0,0.7,8.6,0,0,7.6,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0.3,1.1,0,0.1,0,0,0,0.1,0,0.1,1.2,0,0,0,0,0,0,0.1,0.7
2007,0,0,0,31.5,0,1.9,0,0,0.3,0,0,0.1,0,0.1,0,0.9,0,0.9,8.4,0,0,7.4,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0.2,1.3,0,0.1,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0.1,0.7
2008,0,0,0,32.4,0,1.9,0,0,0.3,0,0,0.1,0,0.1,0,0.8,0,0.4,8.4,0,0,7.6,0.2,0,0,0.6,0,0,0,0,0,0,0,0,0.3,0.2,1.3,0,0.1,0,0,0,0.1,0,0.1,0.8,0,0,0,0,0,0,0.1,0.7
2009,0,0,0,32.2,0,2.1,0,0,0.4,0,0,0.1,0,0.1,0,1,0,0.6,8.5,0,0,7.7,0.2,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0.2,1.2,0,0.1,0,0.1,0,0.1,0,0.1,0.9,0,0,0,0,0,0.1,0.1,0.7
