year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,16.2,0,0.5,0,0,0.1,0,0.1,0,0,0.1,0.1,0.6,0,0,2.1,0,0,14.4,0.1,1.1,0,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.1,0.1,0,0,0.4,0,0.2,0.1,2.9,0.2,0.5,0,0,0.1,0,0.1
1962,0,0,0,16.2,0,0.6,0,0,0.1,0,0.1,0,0,0,0.1,0.6,0,0,2.7,0,0,16,0.1,1.2,0,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.1,0.1,0,0,0.4,0,0.1,0.1,3,0.2,0.5,0,0,0.1,0,0.1
1963,0,0,0,15.6,0,0.6,0,0,0.1,0,0.1,0,0,0,0.1,0.7,0,0,2.1,0,0,14.4,0.1,1.2,0,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.1,0.2,0,0,0.5,0,0.1,0.1,3,0.2,0.5,0,0,0.1,0,0.1
1964,0,0,0,14.6,0,0.6,0,0,0.2,0,0.1,0,0,0,0.1,0.6,0,0,2.8,0,0,14.3,0.1,1.2,0,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.1,0.2,0,0,0.5,0,0.1,0.1,3.1,0.2,0.5,0,0,0.1,0,0.1
1965,0,0,0,15,0,0.6,0,0,0.2,0,0.1,0,0,0,0.2,0.6,0,0,2.4,0,0,16.6,0.1,1.3,0,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.1,0.2,0,0,0.5,0,0.2,0.1,2.9,0.2,0.5,0,0,0.1,0,0.1
1966,0,0,0,17.6,0,0.6,0,0,0.2,0,0.1,0.1,0,0,0.2,0.7,0,0,2.5,0,0,16.4,0.1,1.3,0,0.3,0,0,0,0,0,0,0,0,0,0,1.4,0,0.2,0.2,0,0,0.6,0,0.2,0.1,3.2,0.2,0.6,0,0,0.1,0,0.1
1967,0,0,0,15.8,0,0.6,0,0,0.2,0,0.1,0.1,0,0,0.2,0.7,0,0,2.9,0,0,13.9,0.1,1.3,0,0.2,0,0,0,0,0,0,0,0,0,0,1.4,0,0.2,0.2,0,0,0.6,0,0.2,0.1,3.2,0.2,0.7,0,0,0.1,0,0.1
1968,0,0,0,17.2,0,0.6,0,0,0.2,0,0.1,0.1,0,0.1,0.1,0.6,0,0,2.9,0,0,15.5,0.1,1.3,0,0.2,0,0,0,0,0,0,0,0,0,0,1.5,0,0.2,0.2,0,0,0.6,0,0.2,0.1,3.1,0.2,0.7,0,0,0.1,0,0.1
1969,0,0,0,18,0,0.6,0,0,0.2,0,0.1,0.1,0,0.1,0.1,0.6,0,0,2.9,0,0,15.1,0.1,1.3,0,0.3,0,0,0,0,0,0,0,0,0,0,1.6,0,0.2,0.2,0,0,0.7,0,0.2,0.1,3.3,0.2,0.6,0,0,0.1,0,0.1
1970,0,0,0,21.1,0,0.6,0,0,0.2,0,0.1,0.1,0,0.2,0.2,0.7,0,0,3,0,0,16.1,0.1,1.3,0,0.3,0,0,0,0,0,0,0,0,0,0,1.7,0,0.2,0.2,0,0,0.7,0,0.2,0.2,3.3,0.2,0.5,0,0,0.1,0,0.2
